country,gdp_per_capita_usd,gdp_per_capita_ppp,tertiary_enrolment,internet_users_pct,urban_pop_large_pct,forest_area_pct,hospital_beds_p1k,logistics_perf_idx,rural_pop_pct,unesco_sites,airports_intl
Austria,52336.7725223758,72065.4974270106,94.5116882324219,93.61409139,21.6772317968965,47.206131846825,6.7,4.0,31.001914872094,12,24
Belgium,50605.7496677086,69128.1388883843,83.5736465454102,94.00783071,27.0735971356679,22.604446776415,5.46,4.0,12.510799730145,16,26
Bulgaria,13999.1949530956,36320.1422295192,84.1293563842773,79.12686326,19.903630216221,36.0998526160649,8.01,3.2,26.5200835994776,10,16
Croatia,18465.5414420364,42125.0726930931,80.7626724243164,82.07155532,,34.7410650464618,5.76,3.3,43.0022428266395,10,24
Cyprus,33231.04296875,55876.17578125,105.384979248047,89.60099194,,18.6677489177489,2.15,3.2,33.3305170592416,3,13
Czechia,28282.2236715857,52946.9660854462,70.8145904541016,84.54009378,12.3507348775566,34.7369431785448,6.54,3.3,27.3032361620476,17,28
Denmark,67781.0940939514,78913.6534913127,84.5866088867188,97.86011812,23.2106117579815,15.758,2.48,4.1,11.6119760162297,11,28
Estonia,28340.3826549406,48217.5523106028,71.4251937866211,91.52016546,,57.0652937046572,4.19,3.6,29.5107666263262,2,13
Finland,50440.560224974,62133.1375219912,104.944221496582,92.98879471,23.8973482507353,73.7264996576714,2.61,4.2,26.3032402164051,7,74
France,40988.6396406579,57042.9449013772,71.5107269287109,85.33331734,22.8549154538255,32.32173671027,5.65,3.9,21.2408078876644,53,294
Germany,50506.5179638543,69048.9884036885,77.3656997680664,91.62984383,9.69253663834609,32.685482024273,7.64,4.1,18.2132147219005,54,318
Greece,20886.5243087629,39612.4406377916,166.389556884766,83.17066333,30.2176550429525,30.2699767261443,4.27,3.7,21.4497809019191,19,67
Hungary,18428.028825614,44365.9108128343,60.2746810913086,89.14282688,18.4819710915293,22.4643754109139,6.63,3.2,29.8414935756555,9,20
Ireland,105190.685952731,138522.517800204,77.5933380126953,95.03690338,24.0936603415108,11.4678472927856,2.94,3.6,36.1079749784941,2,16
Italy,35653.9042103495,57260.8945372493,73.8962097167969,85.06074504,19.3614794349248,32.7125321249831,3.06,3.7,30.5160220233461,60,99
Latvia,20221.103686109,40558.7495841122,91.3303680419922,91.03009059,,54.933793990037,5.02,3.5,31.7429781890966,2,18
Lithuania,25085.784063499,50936.0049547442,76.9154586791992,87.72420219,,35.2036435371542,5.71,3.4,31.7133547573187,5,22
Luxembourg,123719.658915996,146919.145398494,21.032600402832,98.24203749,,34.4538272103664,3.99,3.6,5.23945990598151,1,1
Malta,35638.8869457406,60588.8890591794,74.5901336669922,91.54062209,,1.4375,4.09,3.3,4.3996844867121,3,1
Montenegro,10024.5435616209,28049.6156106324,57.4317893981934,88.22192026,,61.4869888475836,3.82,2.8,34.5987034559134,4,5
Netherlands,59123.318556487,78630.3599072098,89.3898620605469,92.51968504,12.3189380114617,11.0296673596674,2.42,4.1,5.01438222658641,13,20
NorthMacedonia,7606.2375253797,24212.2818885331,53.1601181030273,83.85030365,,39.7101506740682,4.74,3.1,38.0469433392733,2,10
Norway,109269.520580298,125489.548935602,97.6419830322266,98.99997764,19.6268476068085,33.4795618634529,3.35,3.7,17.0436338183966,8,67
Poland,18891.2121169279,46777.5524519162,75.2911071777344,86.94113479,4.87356534856614,31.0594923061845,6.04,3.6,40.1684511951679,17,87
Portugal,24620.5197587181,45250.0148759865,75.0714797973633,84.49690644,41.2724935338458,36.154994891142,3.48,3.4,38.8740744227218,18,43
Romania,15503.551804598,41979.2586767087,58.2390403747559,85.50309124,9.3723590442965,30.1158292767733,7.23,3.2,47.8365167522728,11,26
Serbia,10024.8191112596,26142.8279237665,69.8046798706055,83.53825397,21.0848938899525,32.3858163872042,5.78,2.8,38.0986186459604,5,11
Slovakia,21317.7943982363,41562.1497793913,52.4959106445312,89.06766196,,40.05615640599,5.65,3.3,46.8097168927472,8,19
Slovenia,28360.3041467268,52347.109726538,82.3922576904297,88.91248552,,61.2701922885918,4.11,3.3,44.6622182126437,5,7
Spain,30319.4987196616,51398.9310403407,95.0271606445312,94.4855432,25.8904335825508,37.1827922798055,2.94,3.9,20.0451205432186,50,96
Sweden,54836.8907235124,67075.6762724717,83.8976135253906,95.00970335,16.0108653228811,68.6996660773915,1.9,4.0,11.5961423495191,15,149
Switzerland,94394.5106803525,94421.4576550424,74.1526794433594,96.45279694,16.1741684713654,32.2956707010417,4.41,4.1,15.0793733715479,13,40
Türkiye,10897.8397861365,39564.1103267333,127.577972412109,83.43716576,38.0638151512346,29.2768733027559,3.01,3.4,10.9618835449219,21,91
