country,beds,establishments,employees,travellers,overnight_stays
Austria,1138217,25097,243200,40650056,127765910
Belgium,472781,10685,191600,18576023,44696602
Bulgaria,359853,4019,147500,8640448,26865046
Croatia,1149340,117476,109900,19486573,92341148
Cyprus,84859,771,40600,3165534,15636125
Czechia,759131,10293,168100,21977671,55842471
Denmark,451600,1237,111600,9410669,38946106
Estonia,61904,1307,27600,3425730,6374862
Finland,256028,1367,103300,12255457,22832061
France,5094909,29375,1244500,180730009,460271796
Germany,3665302,48275,1557200,178207140,431439035
Greece,1237782,28854,401000,35782424,147209821
Hungary,361716,3959,181200,12202877,30488308
Ireland,245774,2459,185700,11287679,40636150
Italy,5207116,229531,1542600,133636709,447170049
Latvia,52263,1182,31500,2435795,4370854
Lithuania,121556,4793,40900,3992050,8473828
Luxembourg,57949,363,9400,1442035,3485954
Malta,51041,335,26200,2252000,9892292
Montenegro,53787,453,15900,1436146,5124981
Netherlands,1400003,9122,474600,49403791,142272461
NorthMacedonia,48974,518,33800,999476,2072926
Norway,608908,3040,101300,19304587,37044492
Poland,793056,9809,386200,36239201,92797861
Portugal,709602,8141,318000,30813122,84886830
Romania,419921,11547,210600,13665729,29205568
Serbia,172739,24242,106800,4192797,12440935
Slovakia,203394,3648,105000,5549292,14359854
Slovenia,188674,10860,42500,6185779,16102802
Spain,3821391,57492,1851500,144831332,484987485
Sweden,840127,4311,169300,32853276,63896119
Switzerland,643826,35696,178500,25940633,59311203
Türkiye,1797155,20268,1898700,77298091,203187830
