country,gdp_per_capita_usd,gdp_per_capita_ppp,gdp_growth_pct,services_value_added,agriculture_value_added,tertiary_enrolment,education_expenditure,internet_users_pct,mobile_subs_p100,urban_pop_large_pct,forest_area_pct,agri_land_pct,protected_area_pct,co2_per_capita,hospital_beds_p1k,logistics_perf_idx,air_passengers,tourism_receipts_usd,tourism_arrivals,tourism_expenditures,rural_pop_pct,population_total,unesco_sites,airports_intl,length_of_stay,seasonality,protected_hectares,tourist_pressure
United Kingdom,47057.043229179,59021.5721805914,5.14970388522993,72.4836484564399,0.681106058275464,79.7695083618164,5.90681982040405,95.46530151,119.833999505569,27.4549568072895,13.2554871243748,71.9816417972141,39.9,4.80733240636649,2.42,3.7,95908282.0,,11101000.0,,16.9246017002495,67604000.0,35,271,,,,
Iceland,76350.4550416502,75332.8528345867,8.82069395623492,64.4414035899052,4.0879858932462,84.985237121582,7.30798006057739,97.58339691,120.114839781678,,0.522265198849549,18.565903005058,2.9,8.48003811488391,2.83,3.6,3709948.4,,488000.0,,5.82129287719719,382003.0,3,96,,,,
Russia,15619.6142578125,40938.98828125,-1.43588213859842,55.130009073009,3.42029353612808,53.9151941239211,4.05402755323777,90.41799163,168.475831268436,23.6359795587168,49.7843605035639,13.1584362579663,8.6,13.1413838368291,6.84,2.6,82236409.0,4961000000.0,6359000.0,10800000000.0,25.1455106374983,144236933.0,31,593,1.5,639.0931855401907,31015107.7112547,0.5
Ukraine,4199.6708984375,14770.0712890625,-28.7585842155085,61.7172292872421,8.57297627041519,75.9079435107907,5.14010000228882,80.47429657,120.261144906234,13.2562840013266,16.7449085260614,71.2996202968588,12.3,2.90739555971061,6.14,2.7,452343.767,687000000.0,3382000.0,4823000000.0,30.57654087897,41048766.0,8,187,1.5,824.5247159008525,10304974.914490756,0.5
Belarus,7994.64806074889,28429.4948821827,-4.65839591328999,48.2025487635555,8.04181871674039,77.0977334087936,4.62823009490967,89.50733148,128.314999383533,22.199384898534,43.3351396620523,39.8738854130745,13.8,6.05700801391753,9.93,2.7,1290254.0,542000000.0,3598000.0,477000000.0,21.5267212107092,9228071.0,5,65,2.2151972787973673,872.5851347659088,3333109.8817969365,0.5
Moldova,5744.29618434435,16452.9621192,-4.6000000255323,58.8893896635498,8.11428000058421,68.0572346521372,6.10430002212524,74.91899872,137.182551887592,,11.7548661800487,74.9695863746959,11.4,3.27771217414482,5.69,2.5,779683.818,354000000.0,29000.0,303000000.0,57.5951156616211,2528654.0,1,7,3.6325917309412423,1067.6440819506875,1869267.7703403349,3.8406170969406475
Georgia,6729.84659930283,22461.3326414547,10.9585321385624,59.0492463628877,6.63235520175679,79.3253367493498,3.75498008728027,78.71127536,154.013561773213,29.1002940873837,40.6159159591308,34.3056554899986,8.5,3.62639535278365,4.72,2.7,167072.0,586000000.0,1513000.0,292000000.0,39.9898377320885,3712502.0,4,22,3.3178911379962805,955.7105203566009,1790872.1206770886,6.03386248819092
Armenia,6571.97445545099,19161.3700514189,12.5999999997766,55.6162023383919,10.1467039255683,57.1818422625098,2.4918999671936,77.02767465,130.540072214196,36.7785262023441,11.6336717932132,58.6134209413894,24.7,2.61828101845615,4.2,2.5,268520.0,303000000.0,375000.0,330000000.0,34.4375537125515,2969200.0,3,11,3.523827988958815,931.4379920398449,1015869.1626073341,9.844926915310964
Azerbaijan,7770.594223351,22552.0886560523,4.71468033247649,32.0714593346256,4.61220830811053,41.0017793895325,3.04689002037048,88.0,107.506296074404,23.6754660632735,13.9724815486993,57.8402903811252,5.5,3.91289240245969,3.8,,2171085.0,340000000.0,796000.0,439000000.0,41.5617184145316,10141756.0,4,30,2.5142453500734296,1029.5516704812192,2328304.685563146,0.833452126500525
United States,76657.2488844403,77860.9112908848,2.51237531986017,77.5992103112853,0.959566656543433,79.361930847168,5.42038011550903,92.72850037,108.785640656159,46.8581588917061,33.8669264120375,46.0829793974695,15.9,14.4177148825165,2.68,3.8,852828000.0,84205000000.0,45037000.0,48837000000.0,19.9675021760293,334017321.0,26,13513,1.5,400.0,50000000.0,0.5
Canada,56256.8007264015,63944.1050100687,4.18903628100851,66.3883076597889,1.59798786504057,78.8488311767578,4.84426021575928,94.0,91.2386689983444,45.6499155767009,39.4659199995449,6.49436207857817,11.4,14.7892997763968,2.54,4.0,66876000.0,,32430000.0,,17.6499102646032,38935934.0,22,1467,,,,
Mexico,11405.7940473759,23135.4931601276,3.70975709163623,58.1306222617617,3.89806570970786,46.4061317443848,4.05987977981567,78.63217894,105.720624125765,42.0395642848777,33.6618740193935,50.8701226883407,19.0,3.52183828963573,1.01,2.9,70196270.0,11449000000.0,51128000.0,4286000000.0,20.800316784209,128613117.0,35,1714,1.5,400.0,50000000.0,0.5
Brazil,9281.33282136864,19876.8533531396,3.01669435408112,58.0872310746862,5.76747490842218,61.0000915527344,5.61920976638794,80.52775094,101.245468903076,43.6221258395756,59.1275092305226,28.3267329812614,29.3,2.27889577215227,2.52,3.2,84337817.0,3099000000.0,6353000.0,6490000000.0,12.650443756119,210306415.0,25,4093,1.5,400.0,50000000.0,0.5
Argentina,13962.1894087223,29808.8073468007,6.02074537534855,53.5341356683759,6.54156940484837,107.103901423423,4.79263019561768,88.37535691,131.483556254876,43.4978368523683,10.3610566048767,43.4276443440799,9.6,4.2953116708492,3.36,2.8,16302525.0,1702000000.0,7399000.0,2746000000.0,7.887161813874,45407904.0,12,916,1.5,400.0,45310838.80496399,0.5
Chile,15405.6165774073,30932.0010873677,2.15399356192458,55.3720887582081,3.23467925849162,99.3372802734375,4.91201019287109,92.31819916,135.114280974065,35.0684108595719,24.8461772576085,14.3199327104591,37.9,4.62474983424569,1.95,3.0,23742201.0,1034000000.0,5431000.0,720000000.0,11.3604647231315,19553036.0,7,481,1.5,400.0,23604447.82180791,0.5
Australia,65169.5191118657,66103.1797066957,4.25304559238732,63.3627768729711,2.67242699950618,106.240760803223,5.05915021896362,96.11940002,109.469171081514,61.9850991138265,17.4213145571644,47.2592374954823,32.1,14.530502863688,,3.7,55739422.457,26234000000.0,1828000.0,7654000000.0,12.6656731746187,26018721.0,20,418,1.5,753.3882397738514,18930317.656825267,0.5
New Zealand,49099.7090423358,54033.9130125651,3.49638686458842,67.4102911392727,4.56898326146121,77.0104675292969,5.16741991043091,93.07289886,115.984187800849,32.5155164610268,37.719363487904,37.0172040560556,30.6,6.32162465316725,2.57,3.6,11715300.913,10961000000.0,996000.0,4603000000.0,16.1452694982188,5081700.0,3,123,2.245431178084691,971.2547119997585,5510918.088346547,1.067739829583516
Japan,34065.6438962526,47192.0500603372,0.941998775483285,70.3587115927394,0.921881300110971,63.3752288818359,3.33663988113403,84.92343147,168.602943650636,65.0747709556242,68.4087791495199,12.716049382716,15.2,8.3956307081074,12.59,3.9,86456115.0,11395000000.0,4115799.8046875,6741000000.0,8.0223467571594,125124989.0,26,175,1.5,1157.6063714261272,9328924.444096742,4.60835477270291
South Korea,34822.4048404971,55509.3368761174,2.72756456708991,58.0714839153337,1.4483461547482,102.813056945801,5.40910005569458,97.16855335,148.68360770138,50.6693328911129,64.2110655737705,16.2295081967213,5.9,11.8737409785064,12.81,3.8,46853301.0,11776000000.0,2519000.0,16705000000.0,18.8375058373127,51672569.0,16,111,1.5018977652049603,1125.5162175083728,5364133.961638902,6.041874322548416
China,12970.6056414327,23032.1766271143,3.1341888719577,54.9575804271762,7.14788692830171,71.5799465086024,,75.61131603,124.195248970763,30.5230098252695,23.8316995465589,55.4326117545304,14.7,8.86482511020235,5.38,3.7,250754113.0,,30402000.0,,34.7823638916016,1412175000.0,59,507,,,,
India,2347.44829434623,9207.12743040145,7.60936497768895,49.7252249980944,16.5461295925754,32.6703053423023,4.09865814174589,55.9,80.1818007717416,16.2025869268642,24.4494970049005,60.0555856504293,4.4,1.96929618962877,1.59,3.4,139996043.466,13413000000.0,17914000.0,15777000000.0,65.2444326005794,1425423212.0,43,311,1.5,2200.0,50000000.0,0.5
Thailand,6909.35281815827,22243.0747727026,2.58037874709827,56.1587909124394,8.71945138441444,43.29484965617,2.61187022798634,87.97724503,176.22279253783,20.7359180021325,38.7578539411615,45.9981600735971,13.3,3.963374866518,2.39,3.5,34390036.0,15360000000.0,39916000.0,3681000000.0,40.257625579834,71735329.0,8,101,2.110341377332695,1432.5534305735239,9427479.527692836,0.5
Vietnam,4147.69777213621,13905.1536875216,8.53750046755788,41.1356424431376,11.8802998302585,44.7536854027422,2.88738689372749,78.58999918,137.852422819653,18.5606244260734,47.203321964464,39.2911951351024,2.9,3.45101965872917,2.52,3.3,48674423.0,3232000000.0,3837000.0,4360000000.0,62.4521484375,99680655.0,8,45,1.9657792122313635,1492.9394071811273,6045361.681999226,0.5
Indonesia,4730.83484836107,14284.929293133,5.30719722664799,41.7909255847112,12.3996501634108,42.3260385456152,0.863943349575907,66.48461277,122.873012230307,13.9179644851587,48.0419900717626,29.0073830174182,5.3,2.5918955237502,1.4,3.0,58991326.0,3533000000.0,4053000.0,1980000000.0,42.5065295773401,278830529.0,10,673,1.5,1268.5671860721702,40541778.68334313,0.5
Morocco,3463.1376953125,9310.0322265625,1.81269242194809,54.4992684878357,9.79618893785634,45.9400219155138,5.91224674061277,89.9,141.870002419562,22.279918403526,12.9136878781089,65.8091218911046,1.6,1.93751442575683,0.73,2.54,7466482.0,4514000000.0,2802000.0,1509000000.0,37.4881531449297,37329064.0,9,55,2.0669692131797497,1125.009027660849,3791269.495279034,0.8098284199085128
Egypt,4233.30783744856,17526.8017030166,6.58784560886967,51.4288499840612,10.9457535224737,36.462230682373,,72.19806556,90.6794715776528,24.1822484366433,0.0451855944547692,4.07654829474107,11.6,2.29974804261299,1.06,3.1,12152219.0,4874000000.0,13026000.0,2578000000.0,57.3674870991968,112618250.0,7,83,2.0541901585488453,1479.747891500367,8723801.119978126,0.5
South Africa,6534.24867783397,14749.0478045301,2.05813661692193,62.2719610043357,2.60577484985618,23.7271036201865,6.15599012374878,78.29319763,160.728511675754,35.4780043287413,13.9950786833623,79.4178502831612,12.7,6.88263936192025,,3.7,12133966.35,2716000000.0,3886600.09765625,1594000000.0,36.5233300789673,62378410.0,11,407,1.5,647.5347687371361,21692552.53693633,0.5
Tunisia,3707.29283414381,13618.5389918651,2.75228761004381,61.0687406100635,10.8217247722212,37.1276893615723,6.8049896073928,68.31552226,131.875365428496,20.1282017642224,4.54293254376931,62.4388516992791,5.2,2.50498913554161,2.46,2.57,3807115.0,1007000000.0,2012000.0,407000000.0,30.292861351697,12119334.0,8,29,3.918295339492257,844.574413860035,1735647.2306103127,12.449628759393505
Israel,54949.621556429,53619.0680995095,6.26326343841286,70.3167224788312,1.1618336562619,58.9500617980957,5.93291997909546,91.85079615,151.1379631075,57.6252576510594,6.46950092421442,24.7042513863216,10.5,6.65826837562124,3.13,3.6,5520059.0,2661000000.0,4905000.0,2175000000.0,8.5020165726673,9557500.0,9,41,2.6021720740724534,886.8920575928905,1192955.2644586347,19.358517605117946
Saudi Arabia,38510.2276211037,71968.074955888,12.0005874752929,40.2066530479076,2.21479159080364,73.7492065429688,,100.0,149.79788255308,53.7174908246171,0.454484134921779,80.7732356758416,4.5,19.282874301046,2.44,3.4,29005342.249,5960000000.0,20292000.0,9069000000.0,15.8650569976007,32175224.0,8,214,1.5,895.0506425588298,11676050.897085598,0.5
United Arab Emirates,50759.7589231191,75071.6586300351,7.51448425801082,49.9258038185875,0.740896924545652,60.4188226013954,3.89404010772705,100.0,195.624592490241,62.430872050626,4.46775556181357,5.51339763446916,15.9,19.3731459635094,1.87,4.0,68465859.0,24615400390.625,8084000.0,15085000000.0,14.4852652317513,10074977.0,1,43,3.1338857621838665,1363.1574203897771,2027374.7488090384,25.845174365110783
