country,ccr_score,protected_hectares,tourist_pressure,length_of_stay,seasonality
Austria,1.0,2434340.0,16.6985942801745,3.14306848679372,1224.9364603620345
Belgium,0.7961715,542793.2,34.2230208484557,2.40614484596622,1031.6636523875186
Bulgaria,0.530327,3593336.0,2.40457558101997,3.10921910530565,814.6782049625148
Croatia,1.0,1337444.0,14.5700104079124,4.73870639029243,876.7391193805497
Cyprus,0.9996688,103488.0,30.5884160482374,4.93949046195681,2010.735108264783
Czechia,0.7605726,1713114.282,12.8290746454707,2.54087300697148,802.7337773335216
Denmark,1.0,716000.0,13.1433924581005,4.13850556214441,941.095604949435
Estonia,1.0,863146.0,3.96888822980121,1.86087695177378,1123.7655449672354
Finland,1.0,3981876.0,3.07780980623203,1.86301179955998,973.1533663733749
France,0.9646331,19725570.0,9.1622198496672,2.54673697271823,985.8289531325936
Germany,0.9838436,13522941.0,13.1781348450754,2.42099746957389,1284.4976349540268
Greece,0.8358075,1417900.0,25.236211298399,4.11402595307685,1297.8253675367023
Hungary,0.6842043,2062476.0,5.91661527212922,2.49845245510546,919.7911793734819
Ireland,0.9788837,275560.0,40.9626905211206,3.60004479220218,1804.2647067026965
Italy,0.6602105,4287940.0,31.165713372855,3.34616178702814,937.1283827130557
Latvia,0.8421937,1089025.0,2.2366750074608,1.79442604981125,912.6318084535416
Lithuania,0.698666,1114280.0,3.5826273468069,2.12267581818865,760.7235848683927
Luxembourg,0.9111492,143654.868,10.0381909786725,2.41738515361971,656.4465087621503
Malta,1.0,2432.0,925.986842105263,4.39266962699822,2114.9562585317
Montenegro,0.8045974,123739.999999999,11.6061580733796,3.56856545225903,1039.77309290831
Netherlands,0.8357533,851851.0,57.9958126479865,2.87978833446202,1108.9590629253182
NorthMacedonia,0.4086667,388388.0,2.57339567648846,2.07401278269813,461.89350864021145
Norway,0.9820404,2039911.99999999,9.46344107000694,1.91894765736247,663.889195141269
Poland,0.9167118,11638260.0,3.11379888402561,2.56070383560608,1276.9025301727615
Portugal,0.8945386,1575616.32,19.5562343502509,2.75489221767271,1305.4165720843005
Romania,0.6043875,5613952.0,2.43424400493627,2.13713940910141,758.9649147461001
Serbia,0.4873415,681129.0,6.15565773884242,2.96721615666105,785.93432541436
Slovakia,0.529006,,,2.58769118655136,770.4341482090697
Slovenia,0.8585941,807393.45,7.66141835805083,2.6031971074298,931.3502445854543
Spain,0.7908293,8944583.45999999,16.1920711733176,3.34863650221762,1384.9455282322137
Sweden,1.0,6312685.0,5.20432684349052,1.94489337988698,829.9523804102689
Switzerland,0.9463131,478066.522999999,54.261555143446,2.28642080553701,1005.2911486184763
Türkiye,0.8738877,4386891.0,17.6202442686631,2.6286267535378,1233.7745105544518
