block,model,metric_label,metric_value,metric_secondary,metric_value_num
DEA,CCR,Mean efficiency,0.8357272402921346,7/33 efficient,0.8357272402921346
DEA,BCC,Mean efficiency,0.9042091768280154,17/33 efficient,0.9042091768280154
DEA,SuperEff,Mean efficiency,0.8906476190531969,0/33 efficient,0.8906476190531969
DEA,SBM,Mean efficiency,0.6883983177027426,7/33 efficient,0.6883983177027426
Censored regression,Tobit (right-censored at 1),Significant regressors (p<0.05),1.0,MLE,1.0
Censored regression,Simar-Wilson bootstrap-truncated,Coefs with 95% CI excluding 0,3.0,B = 1000,3.0
Machine learning (baseline),ElasticNet,R^2 LOO,0.0526581468034585,RMSE 0.1592,0.0526581468034585
Machine learning (baseline),RandomForest,R^2 LOO,0.1054824221635942,RMSE 0.1547,0.1054824221635942
Machine learning (baseline),GradientBoosting,R^2 LOO,0.078438894273414,RMSE 0.1571,0.078438894273414
Machine learning (baseline),XGBoost,R^2 LOO,0.024757086671747,RMSE 0.1616,0.024757086671747
Machine learning (baseline),LightGBM,R^2 LOO,-0.065556713492932,RMSE 0.1689,-0.065556713492932
Machine learning (extended),ElasticNet,R^2 LOO,0.2524212902738258,RMSE 0.1473,0.2524212902738258
Machine learning (extended),RandomForest,R^2 LOO,0.2348911511755772,RMSE 0.1490,0.2348911511755772
Machine learning (extended),GradientBoosting,R^2 LOO,-0.0066547058649488,RMSE 0.1709,-0.0066547058649488
Machine learning (extended),XGBoost,R^2 LOO,0.3231372112681284,RMSE 0.1402,0.3231372112681284
Machine learning (extended),LightGBM,R^2 LOO,-0.0784023694311661,RMSE 0.1769,-0.0784023694311661
