model,r2_loo,rmse_loo,mae_loo,panel
ElasticNet,0.6582402429843237,0.2069364384181494,0.170203309305408,eu_only_proxy
RandomForest,0.18892982953465354,0.3187907589563522,0.28582507968154774,eu_only_proxy
GradientBoosting,0.48749747826665313,0.2534104454888316,0.21894515162781295,eu_only_proxy
XGBoost,0.3453726304047955,0.28640037912287186,0.24782385454371195,eu_only_proxy
kNN,0.11825947450729402,0.33238920436971886,0.28657622898765656,eu_only_proxy
ElasticNet,0.5157583813310248,0.22728038295125744,0.17649634738777642,combined_proxy
RandomForest,0.4496821457417448,0.2422912317044524,0.1863833731974888,combined_proxy
GradientBoosting,0.568548039782633,0.2145344886030399,0.15160769606248353,combined_proxy
XGBoost,0.5649864462608616,0.21541814927587769,0.15628046357351572,combined_proxy
kNN,0.3530883695089957,0.26269594906431604,0.19666564193985298,combined_proxy
ElasticNet,0.2783280753415841,0.27746026788944456,0.22322760515439383,combined_proxy_lite
RandomForest,0.3074891692502185,0.2717967010817058,0.21537997255813315,combined_proxy_lite
GradientBoosting,0.1488956215244066,0.30131607981003156,0.22833995926180253,combined_proxy_lite
XGBoost,0.28485426117253365,0.2762028616091592,0.21066793680261778,combined_proxy_lite
kNN,0.1850034859156522,0.29485518672486255,0.2310798408020926,combined_proxy_lite
